School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Geocode,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
2016 - 17,790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,K391,K,17,250,790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,2,1188,PS 384K,New Heights Middle School|ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL(BS)|790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"790 EAST NEW YORK AVENUE\n(40.662442, -73.936593)",11203,40.662447,-73.936382,9,41,876,3107129,3048060001,Prospect Lefferts Gardens-Wingate
2016 - 17,Juan Morel Campos Secondary School,K071,K,14,596,,1,1262,PS 69,Juan Morel Campos Secondary School,2,3,7,3,2,4C,501-750,0.28,1.11,1.74,0.75,0.53,"215 HEYWARD STREET\n(40.798496, -73.247997)",11206,40.703624,-73.953146,1,33,529,3061064,3022270001,Williamsburg
2016 - 17,George Washington Yabc,M457,M,6,406,40 IRVING PLACE CONSOLIDATED LOCATION,7,706,SEWARD PARK HS,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"549 AUDUBON AVENUE\n(28.010919, -80.660106)",10040,40.855954,-73.927051,12,10,277,1076751,1021600018,Washington Heights North
2016 - 17,35 STARR STREET CONSOLIDATED LOCATION,K111,K,32,595,35 STARR STREET CONSOLIDATED LOCATION,2,85,PS 110K,"I.S. 347 School of Humanities |  I.S. 349 Math, Science & Tech. |  35 STARR STREET CONSOLIDATED LOCATION",0,1,3,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"35 STARR STREET\n(44.079404, -69.183525)",11221,40.70069,-73.927481,4,34,423,3072497,3031850001,Bushwick South
2016 - 17,319 EAST 117 STREET CONSOLIDATED LOCATION,M155,M,4,142,319 EAST 117 STREET CONSOLIDATED LOCATION,2,609,PS 152M,P.S. 155 William Paca |  Renaissance School of the Arts |  319 EAST 117 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"319 EAST 117 STREET\n(41.681376, -87.616066)",10035,40.797302,-73.936365,11,8,188,1052986,1016890005,East Harlem North
2016 - 17,P.S. 124 Yung Wing,M124,M,2,518,,2,556,JHS 118M,P.S. 123 Mahalia Jackson I Success Academy Charter School Harlem 5,0,3,9,1,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"40 DIVISION STREET\n(40.436805, -80.065383)",10002,40.714201,-73.995087,3,1,16,1075787,1002890001,Chinatown
2016 - 17,PS 77(BROOKLYN),K077,K,22,277,2424 BATCHELDER STREET CONSOLIDATED LOCATION,2,153,IS 014K,J.H.S 014 Shell Bank | PS 77 (Brooklyn) |CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"2424 BATCHELDER STREET\n(40.593353, -73.937627)",11235,40.593521,-73.937672,15,48,596,3203617,3074240001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2016 - 17,P.S. 009 Sarah Anderson,M009,M,3,563,,1,571,PS 005M,P.S. 008 Luis Belliard,0,1,1,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"100 WEST 84 STREET\n(29.510513, -90.331629)",10024,40.785287,-73.97343,7,6,169,1032119,1012140029,Upper West Side
2016 - 17,P.S. 158 Warwick,K158,K,19,508,,1,96,PS 155K,P.S./I.S. 157 The Benjamin Franklin Health & Scien,1,6,2,6,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"400 ASHFORD STREET\n(31.308802, -89.302651)",11207,40.672579,-73.884803,5,37,1150,3089176,3040150001,East New York
2016 - 17,W. H. Maxwell Career and Technical Education High,K660,K,19,1388,345 DEAN STREET CONSOLIDATED LOCATION,2,1226,Academy for Health Careers(Dist.13 Office),The Math & Science Exploratory School |  Brooklyn High School of the Arts |  345 DEAN STREET CONSOLIDATED LOCATION,0,4,8,1,2,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"145 PENNSYLVANIA AVENUE\n(40.513958, -74.847748)",11207,40.674135,-73.89643,5,37,1144,3083660,3037040001,East New York (Pennsylvania Ave)
2016 - 17,New American Academy Charter School,K736,K,18,332,5800 TILDEN AVENUE CONSOLIDATED LOCATION,4,185,LAFAYETTE HS,It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences | New American Academy Charter School |  5800 TILDEN AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"5800 TILDEN AVENUE\n(40.648654, -73.922313)",11203,40.648657,-73.922171,17,45,936,3104598,3047420001,Rugby-Remsen Village
2016 - 17,P.S. 371 - Lillian L. Rashkis,K371,K,15,242,3000 WEST 1 STREET CONSOLIDATED LOCATION,1,1094,PS 156K,P.S. 370 | 3000 WEST 1 STREET CONSOLIDATED LOCATION,0,0,0,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"355 37 STREET\n(41.195843, -111.972294)",NaN,,,NaN,NaN,NaN,NaN,NaN,
2016 - 17,P.S. 149 Danny Kaye,K149,K,19,382,,1,1138,PS 147K,P.S. 373 - Brooklyn Transition Center,0,3,1,2,1,3C,251-500,0.27,0.9,1.67,0.63,0.44,"700 SUTTER AVENUE\n(38.58105, -121.554712)",11207,40.669719,-73.892822,5,42,1158,3084348,3037740016,East New York (Pennsylvania Ave)
2016 - 17,P.S. 276 Louis Marshall,K276,K,18,792,985 ROCKAWAY AVENUE CONSOLIDATED LOCATION,4,25,IS 271K,Kappa V |  Brooklyn Democracy Academy |Leadership Preparatory Brownsville Charter School |Metropolitan Diploma Plus High School |  985 ROCKAWAY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,"1070 EAST 83 STREET\n(40.634043, -73.907868)",11236,40.634085,-73.907925,18,46,996,3225637,3080340001,Canarsie
2016 - 17,P.S. 333 - The Museum School,X333,X,8,502,,1,372,PS 050X,P.S. 058,0,2,3,2,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,888 REV J A POLITE AVE,10459,40.820403,-73.898912,2,17,87,2005348,2026960085,Longwood
2016 - 17,209 YORK STREET CONSOLIDATED LOCATION,K307,K,13,137,209 YORK STREET CONSOLIDATED LOCATION,2,123,PS 304K,P.S. 307 Daniel Hale Williams |  Satellite West Middle School |  209 YORK STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"209 YORK STREET\n(40.701328, -73.981737)",11201,40.701343,-73.982314,2,33,21,3000158,3000560007,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2016 - 17,Brooklyn Institute for Liberal Arts,K745,K,17,460,600 KINGSTON AVENUE CONSOLIDATED LOCATION,4,149,ERASMUS HALL HS,"School for Human Rights, The |  School for Democracy and  Leadership |  International Arts Business School |  High School for Public Service: Heroes  of Tomorro |  Brooklyn Institute for Liberal Arts |  600 KINGSTON AVENUE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"600 KINGSTON AVENUE\n(40.658787, -73.942431)",11203,40.658893,-73.942458,9,40,810,3107227,3048110001,Prospect Lefferts Gardens-Wingate
2016 - 17,237 7 AVENUE CONSOLIDATED LOCATION,K460,K,15,654,237 7 AVENUE CONSOLIDATED LOCATION,4,138,STREET ACADEMY,Secondary School for Law |  Secondary School for Journalism |  Park Slope Collegiate |  Millennium Brooklyn HS | 237 7 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"237 7 AVENUE\n(64.748749, -147.345471)",11215,40.669629,-73.979287,6,39,155,3025510,3010820001,Park Slope-Gowanus
2016 - 17,M.S. 255 Salk School of Science,M255,M,2,650,319 EAST 19 STREET CONSOLIDATED LOCATION,2,578,PS 030M,P.S. 040 Augustus Saint-Gaudens |  M.S. 255 Salk School of Science |  319 EAST 19 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"319 EAST 19 STREET\n(43.480787, -112.028008)",10003,40.735161,-73.982027,6,2,64,1020513,1009250012,Gramercy
2016 - 17,P.S. 282 Park Slope,K282,K,13,1290,,1,289,PS 276K,I.S. 281 Joseph B Cavallaro,0,4,9,2,2,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"180 6 AVENUE\n(42.851049, -106.393902)",11217,40.67634,-73.977367,6,39,131,3019597,3009500024,Park Slope-Gowanus
2016 - 17,105 TECH PLACE CONSOLIDATED LOCATION,K580,K,13,449,105 TECH PLACE CONSOLIDATED LOCATION,2,148,EDWARD R. MURROW HS,"George Westinghouse Career and Technical Education|City Polytechnic High School of Engineering, Archi|105 TECH PLACE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"105 TECH PLACE\n(40.694892, -73.985278)",11201,40.694926,-73.986015,2,33,13,3348041,3001310001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2016 - 17,Middle School of Marketing and Legal Studies,K598,K,18,184,905 WINTHROP STREET CONSOLIDATED LOCATION,3,166,IS 227K,East Flatbush Community Research School |  Arts & Media Preparatory Academy |  Middle School of Marketing and Legal Studies |  905 WINTHROP STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"905 WINTHROP STREET\n(40.39373, -86.884926)",11203,40.65843,-73.929076,17,41,880,3099733,3046060025,Prospect Lefferts Gardens-Wingate
2016 - 17,P.S. 377 Alejandrina B. De Gautier,K377,K,32,555,,1,132,PS 369K,P.S. 376,0,0,2,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"200 WOODBINE STREET\n(34.504111, -93.057642)",11221,40.694018,-73.915263,4,37,415,3076784,3033600001,Bushwick South
2016 - 17,650 ACADEMY STREET CONSOLIDATED LOCATION,M052,M,6,221,650 ACADEMY STREET CONSOLIDATED LOCATION,3,662,JHS 047M SCHOOL FOR THE DEAF,J.H.S. 052 Inwood |  High School for Excellence and Innovation | INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE|   650 ACADEMY STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"650 ACADEMY STREET\n(35.82187, -79.81864)",10034,40.866053,-73.924835,12,10,291,1076776,1022330020,Marble Hill-Inwood
2016 - 17,P.S. 112 Jose Celso Barbosa,M112,M,4,334,,1,595,PS 102M,P.S. 111 Adolph S. Ochs,0,1,1,1,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"535 EAST 119 STREET\n(40.896732, -98.213115)",10035,40.796668,-73.930966,11,8,192,1084005,1018160001,East Harlem North
2016 - 17,P.S. 305 Dr. Peter Ray,K305,K,13,105,344 MONROE STREET CONSOLIDATED LOCATION,2,1313,DISTRICT 21 OFFICE,Satellite East Middle School |  P.S. 305 Dr. Peter Ray |  344 MONROE STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"344 MONROE STREET\n(37.32742, -80.815882)",11216,40.686076,-73.945229,3,36,265,3051458,3018190014,Bedford
2016 - 17,Brooklyn International High School,K439,K,13,544,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,232,PS 133K,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"49 FLATBUSH AVENUE\n(40.697187, -73.984992)",11201,40.697339,-73.985016,2,33,15,3000216,3001200020,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2016 - 17,N.Y.C. Museum School,M414,M,2,531,333 WEST  17 STREET CONSOLIDATED LOCATION,3,689,PS 064M,New York City Lab Middle School for Collaborative |  N.Y.C. Lab School for Collaborative Studies |  N.Y.C. Museum School |  333 WEST  17 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"333 WEST 17 STREET\n(39.647167, -74.185784)",10011,40.742129,-74.002198,4,3,83,1079152,1007410010,Hudson Yards-Chelsea-Flatiron-Union Square
2016 - 17,P.S. 205 Clarion,K205,K,20,1195,,1,257,PS 200K,P.S. 204 Vince Lombardi,0,0,1,0,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"6701 20 AVENUE\n(32.807436, -85.168226)",11204,40.61527,-73.987149,11,47,256,3134749,3055710001,Bensonhurst West
2016 - 17,ACHIEVEMENT FIRST BUSHWICK Charter School,K538,K,32,915,1300 GREENE AVENUE CONSOLIDATED LOCATION,2,133,PS 376K,J.H.S. 383 Philippa Schuyler| Achievement First Bushwick Charter School| 1300 GREENE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,"1300 GREENE AVENUE\n(40.698104, -73.91946)",11237,40.697781,-73.919777,4,37,431,3075413,3032980001,Bushwick North
2016 - 17,P.S. 131 Brooklyn,K131,K,15,806,,1,229,PS 128K,P.S. 130 The Parkside,1,0,2,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"4305 FT HAMILTON PARK\n(40.641093, -73.993599)",11219,40.641157,-73.993482,12,39,224,3136085,3056030001,Borough Park
2016 - 17,P.S. 111 Adolph S. Ochs,M111,M,2,383,,1,594,PS 101M,P.S. 110 Florence Nightingale,1,0,0,1,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"440 WEST 53 STREET\n(33.994195, -118.281975)",10019,40.765878,-73.988823,4,3,133,1026740,1010620003,Clinton
2016 - 17,Renaissance School of the Arts,M377,M,4,294,319 EAST 117 STREET CONSOLIDATED LOCATION,2,609,PS 152M,P.S. 155 William Paca |  Renaissance School of the Arts |  319 EAST 117 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"319 EAST 117 STREET\n(41.681376, -87.616066)",10035,40.797302,-73.936365,11,8,188,1052986,1016890005,East Harlem North
2016 - 17,P.S. 229 Dyker,K229,K,20,1383,,1,270,PS 225K,I.S. 228 David A. Boody,0,4,1,3,1,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"1400 BENSON AVENUE\n(40.610808, -74.013097)",11228,40.610963,-74.013376,11,43,170,3167212,3063910024,Bath Beach
2016 - 17,Urban Assembly Maker Academy,M282,M,2,4287,198 FORSYTH STREET CONSOLIDATED LOCATION,2,534,CHOIR ACADEMY,Forsyth Satellite Academy |  Cascades High School |  198 FORSYTH STREET CONSOLIDATED LOCATION,0,1,4,0,1,13C,4000+,0.33,6.67,7,3.33,2,"411 PEARL STREET\n(37.010915, -86.446631)",10038,40.711442,-74.000851,1,1,29,1001388,1001130100,Chinatown
2016 - 17,P.S. 191 Amsterdam,M191,M,3,445,,2,622,PS 178M,P.S. 188 The Island School l Girls Prep Charter School | 442 East Houston Street,0,1,5,1,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"210 WEST 61 STREET\n(44.89237, -93.286166)",10023,40.771925,-73.987328,7,6,147,1030320,1011520029,Lincoln Square
2016 - 17,P.S. 189 The Bilingual Center,K189,K,17,486,,1,1145,PS 183K,P.S. 188 Michael E. Berdy,0,3,4,1,2,3C,251-500,0.27,0.9,1.67,0.63,0.44,"1100 EAST NEW YORK AVENUE\n(31.992664, -102.062399)",11212,40.665565,-73.926246,17,41,892,3099537,3045990001,Brownsville
2016 - 17,P.S. 274 Kosciusko,K274,K,32,335,,1,25,IS 271K,P.S. 273 Wortman,1,0,2,0,1,3C,251-500,0.27,0.9,1.67,0.63,0.44,"800 BUSHWICK AVENUE\n(40.694766, -73.927633)",11221,40.694921,-73.927931,4,34,393,3073752,3032410037,Bushwick South
2016 - 17,Invictus Preparatory Charter School,K386,K,19,969,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION,3,108,PS 214K,"J.H.S. 218 James P. Sinnott|The School for Classics: An Academy of Thinkers, W|Invictus Preparatory Charter School|370 FOUNTAIN AVENUE CONSOLIDATED LOCATION",5,6,6,6,5,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"370 FOUNTAIN AVENUE\n(41.722526, -81.260519)",11208,40.670724,-73.874208,5,42,1118,3095977,3042780001,East New York
2016 - 17,P.S. 69 Vincent D. Grippo School,K069,K,20,855,,1,157,IS 068K,P.S. 69 Vincent D. Grippo School,0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"6302 9TH AVENUE\n(40.632198, -74.009413)",11220,40.632379,-74.009223,10,38,120,3387646,3057350032,Sunset Park East
2016 - 17,P.S. 149 Sojourner Truth,M149,M,3,182,508 EAST 120 STREET CONSOLIDATED LOCATION,2,632,PS 198M,River East Elementary |  P.S. 206 Jose Celso Barbosa |  508 EAST 120 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"41 WEST 117 STREET\n(41.700741, -71.531007)",10026,40.802136,-73.947828,10,9,190,1051434,1016010001,Central Harlem South
2016 - 17,PS/IS 30 Mary White Ovington,K030,K,20,443,,1,950,JHS 143K,P.S. 329 Surfside,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"7002 4TH AVENUE\n(40.633453, -74.023993)",11209,40.63359,-74.023948,10,43,68,3146550,3058910048,Bay Ridge
2016 - 17,198 FORSYTH STREET CONSOLIDATED LOCATION,M510,M,1,492,,1,568,PARK EAST HS,Edward A. Reynolds West Side High School,1,4,1,3,1,3C,251-500,0.27,0.9,1.67,0.63,0.44,"198 FORSYTH STREET\n(35.885188, -80.087586)",10002,40.72252,-73.990728,3,1,3601,1005626,1004220072,Chinatown
2016 - 17,150 ALBANY AVENUE CONSOLIDATED LOCATION,K625,K,17,399,150 ALBANY AVENUE CONSOLIDATED LOCATION,2,3,AUTOMOTIVE HS,Pathways in Technology Early College High School  |  Academy for Health Careers |  150 ALBANY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"150 ALBANY AVENUE\n(40.738834, -73.353728)",11213,40.675612,-73.938843,8,36,311,3030553,3012160046,Crown Heights North
2016 - 17,P.S. 108 Sal Abbracciamento,K108,K,19,996,,1,221,PS 107K,P.S. 108 Sal Abbracciamento,0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"200 LINWOOD STREET\n(41.655555, -72.788602)",11208,40.681268,-73.884063,5,37,117202,3087131,3039260045,Cypress Hills-City Line
2016 - 17,P.S. 140 Nathan Straus,M140,M,1,672,,1,533,Percy E. Sutton Educ. Complex/Formerly BREAD & ROSES HS,P.S. 184m Shuang Wen,0,2,0,0,2,4C,501-750,0.28,1.11,1.74,0.75,0.53,"123 RIDGE STREET\n(46.503876, -87.608944)",10002,40.71925,-73.983056,3,1,2201,1004091,1003440001,Lower East Side
2016 - 17,KIPP Washington Heights Middle School,M068,M,6,693,201 WARREN STREET CONSOLIDATED LOCATION,2,589,PS 084M,P.S. 89 |  I.S. 289 |  201 WARREN STREET CONSOLIDATED LOCATION,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"21 JUMEL PLACE\n(43.082584, -73.771551)",10032,40.839305,-73.936159,12,10,249,1076741,1021120058,Washington Heights South
2016 - 17,P.S. 372 -The Children's School,K372,K,15,201,,1,1043,METROPOLITAN CORP. ACADEMY,South Brooklyn Community High School,1,2,1,2,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"512 CARROLL STREET\n(28.558325, -81.764104)",11215,40.676668,-73.985258,6,39,119,3007707,3004550001,Park Slope-Gowanus
2016 - 17,P.S. 109,K109,K,22,1282,790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,2,1188,PS 384K,New Heights Middle School|ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL(BS)|790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,0,3,2,0,3,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"1001 EAST 45 STREET\n(47.216313, -122.417961)",11203,40.636455,-73.933582,17,45,836,3114526,3050220002,East Flatbush-Farragut
2016 - 17,P.S./I.S. 045 Horace E. Greene,K045,K,32,726,,1,68,PS 044K,P.S./I.S. 045 Horace E. Greene,0,1,0,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"84 SCHAEFER STREET\n(40.686637, -73.910806)",11207,40.686746,-73.910693,4,37,401,3079428,3034270011,Bushwick South
2016 - 17,P.S./I.S. 137 Rachel Jean Mitchell,K137,K,23,508,4004 4 AVENUE CONSOLIDATED LOCATION,2,1037,PS 135K,I.S. 136 Charles O. Dewey | Sunset Park Prep |  4004 4 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"121 SARATOGA AVENUE\n(43.16525, -77.629754)",11233,40.682458,-73.917088,16,41,373,3040878,3015100001,Ocean Hill
2016 - 17,Frederick Douglass Academy IV Secondary School,K393,K,16,69,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,60,PS 025K,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"1014 LAFAYETTE AVENUE\n(37.250109, -77.406116)",11221,40.692126,-73.931731,3,36,291,3393805,3016160001,Stuyvesant Heights
2016 - 17,P.S. 150 Christopher,K150,K,23,704,,1,1183,P373K BROOKLYN TRANSITION CENTER,P.S. 149 Danny Kaye,0,1,2,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"364 SACKMAN STREET\n(40.668621, -73.904626)",11212,40.66896,-73.904726,16,41,908,3084012,3037440009,Brownsville
2016 - 17,34 WEST 118 STREET,M149,M,3,362,,1,1054,PS 144M,P.S. 146 Ann M. Short,0,2,1,1,1,3C,251-500,0.27,0.9,1.67,0.63,0.44,"34 WEST 118 STREET\n(42.933492, -72.279737)",10026,40.80247,-73.946716,10,9,190,1051434,1016010001,Central Harlem South
2016 - 17,P.S. 346 Abe Stark,K346,K,19,639,,1,128,PS 332K,P.S. 345 Patrolman Robert Bolden,0,1,2,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"1400 PENNSYLVANIA AVENUE\n(40.421492, -80.569278)",11239,40.64726,-73.881114,5,42,105804,3098294,3044520025,Starrett City
2016 - 17,P.S. 172 Beacon School of Excellence,K172,K,15,298,528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,2,241,PS 169K,I.S. 171 Abraham Lincoln |  Highland Park Community School |  528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"825 4 AVENUE\n(41.246964, -77.022903)",11232,40.657914,-74.000652,7,38,101,3009847,3006690001,Sunset Park West
2016 - 17,Wadleigh Secondary School for the Performing & Vis,M415,M,3,877,,1,588,PS 083M,P.S. 087 William Sherman,0,1,0,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"215 WEST 114 STREET\n(32.923885, -97.07699)",10026,40.802207,-73.954142,10,9,218,1055204,1018300019,Central Harlem South
2016 - 17,P.S. 059 William Floyd,K059,K,14,318,211 THROOP AVENUE CONSOLIDATED LOCATION,2,209,PS 058K,P.S. 059 William Floyd |  Success Academy Charter School - Bed-Stuy 2 |  211 THROOP AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"211 THROOP AVENUE\n(40.697579, -73.943814)",11206,40.696733,-73.943652,3,36,28502,3048546,3017490001,Stuyvesant Heights
2016 - 17,144-176 EAST 128 STREET CONSOLIDATED LOCATION,M030,M,5,771,144-176 EAST 128 STREET CONSOLIDATED LOCATION,3,661,JHS 025M - MARTA VALLE,P.S. 030 Hernandez/Hughes|  P.S. 138|  Success Academy Charter School - Harlem 2|  144-176 EAST 128 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,"144 176 EAST 128 STREET\n(40.021863, -75.21517)",10035,40.805953,-73.935179,11,9,242,1054502,1017760020,East Harlem North
2016 - 17,"James Baldwin School, The: A School for Expedition",M313,M,2,1604,260 PLEASANT AVENUE CONSOLIDATED LOCATION,2,677,PS 003M,Manhattan Center for Science and Mathematics |  Isaac Newton Middle School for Math & Science |  260 PLEASANT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,8C,1501-1750,N/A,N/A,N/A,N/A,N/A,"351 WEST 18 STREET\n(26.777123, -80.061719)",10011,40.742867,-74.002136,4,3,89,1013096,1007420007,Hudson Yards-Chelsea-Flatiron-Union Square
2016 - 17,"Brooklyn Latin School, The",K449,K,14,724,223 GRAHAM AVENUE CONSOLIDATED LOCATION,3,207,PS 048K,"Brooklyn Latin School, The |  Green School: An Academy for Environmental Careers |  Lyons Community School 223 GRAHAM AVENUE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"223 GRAHAM AVENUE\n(41.868304, -88.021736)",11206,40.709941,-73.943641,1,34,505,3070825,3030250001,East Williamsburg
2016 - 17,600 KINGSTON AVENUE CONSOLIDATED LOCATION,K470,K,17,359,600 KINGSTON AVENUE CONSOLIDATED LOCATION,4,149,ERASMUS HALL HS,"School for Human Rights, The |  School for Democracy and  Leadership |  International Arts Business School |  High School for Public Service: Heroes  of Tomorro |  Brooklyn Institute for Liberal Arts |  600 KINGSTON AVENUE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"600 KINGSTON AVENUE\n(40.658787, -73.942431)",11203,40.658893,-73.942458,9,40,810,3107227,3048110001,Prospect Lefferts Gardens-Wingate
2016 - 17,240 EAST 109 STREET CONSOLIDATED LOCATION,M117,M,4,586,240 EAST 109 STREET CONSOLIDATED LOCATION,2,597,PS 112M,Tag Young Scholars |  ESPERANZA PREPARATORY ACADEMY |  240 EAST 109 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"240 EAST 109 STREET\n(42.938054, -78.902013)",10029,40.79307,-73.942303,11,8,170,1052433,1016560100,East Harlem South
