School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Geocode,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
2016 - 17,Thomas C. Giordano Middle School 45,X045,X,10,274,1825 PROSPECT AVENUE CONSOLIDATED LOCATION,2,519,PS/MS 037X,P.S. 044 David C. Farragut |  Accion Academy |  1825 PROSPECT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"2502 LORILLARD PLACE\n(40.858564, -73.887349)",10458,40.859034,-73.886913,6,15,387,2011937,2030670001,Belmont
2016 - 17,EMMA LAZARUS HIGH SCHOOL,M394,M,2,508,100 HESTER STREET CONSOLIDATED LOCATION,3,1275,P.S.128 MINISCHOOL,M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"100 HESTER STREET\n(36.550818, -89.966374)",10002,40.716553,-73.993092,3,1,16,1082489,1003010003,Chinatown
2016 - 17,P.S. 096 Joseph Lanzetta,M096,M,4,453,,1,544,IS 090M,P.S./I.S. 210 - Twenty-first Century Academy for C,1,0,1,1,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"216 EAST 120 STREET\n(40.774507, -111.885951)",10035,40.800256,-73.937558,11,8,194,1074333,1017840012,East Harlem North
2016 - 17,P.S./I.S. 78Q,Q078,Q,30,359,,1,1380,Civic Leadership Academy,Cambria Heights Academy,0,1,4,0,1,3C,251-500,0.27,0.9,1.67,0.63,0.44,"48 09 CENTER\n(39.892826, -74.930219)",11109,40.744753,-73.957971,2,26,1,4000019,4000180001,Hunters Point-Sunnyside-West Maspeth
2016 - 17,Teachers Preparatory High School,K697,K,23,206,226 BRISTOL STREET CONSOLIDATED LOCATION,2,1141,PS 174K,Frederick Douglass Academy VII High School |  Teachers Preparatory High School |  226 BRISTOL STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"226 BRISTOL STREET\n(42.881722, -78.848003)",11212,40.665878,-73.911705,16,41,924,3081419,3035410001,Brownsville
2016 - 17,Hyde Leadership Charter School,X345,X,8,858,,1,375,PS 066X,P.S. 072 Dr. William Dorney,1,0,1,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"730 BRYANT AVENUE\n(42.256503, -84.439351)",10474,40.815477,-73.88577,2,17,117,2006566,2027630279,Hunts Point
2016 - 17,I.S. 392,K392,K,23,762,104 SUTTER AVENUE CONSOLIDATED LOCATION,2,1040,PS 335K,P.S. 156 Waverly |  I.S. 392 |  104 SUTTER AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,"104 SUTTER AVENUE\n(38.748514, -121.281008)",11212,40.665965,-73.918107,16,41,900,3081276,3035350016,Brownsville
2016 - 17,P.S. K225 - The Eileen E. Zaglin,K225,K,21,424,,1,269,PS 222K,P.S. 224 Hale A. Woodruff,0,0,3,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"1075 OCEAN VIEW AVENUE\n(40.579689, -73.956244)",11235,40.579737,-73.956329,13,48,61004,3245498,3087120056,Brighton Beach
2016 - 17,P.S. 03,Q003,Q,28,753,,1,1106,SATELLITE ACADEMY HS,NEW HEIGHTS ACADEMY CHARTER SCHOOL(MN),0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"108 55 69 AVENUE\n(36.0878, -79.52861)",11375,40.725098,-73.845091,6,29,739,4052265,4022180021,Forest Hills
2016 - 17,P.S. 024 Spuyten Duyvil,X024,X,10,451,270 EAST 167 STREET CONSOLIDATED LOCATION,2,362,P012X,J.H.S. 022 Jordan L. Mott |  Bronx Writing Academy |  270 EAST 167 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"660 WEST 236 STREET\n(34.10825, -117.642127)",10463,40.887111,-73.913697,8,11,309,2085869,2059170140,North Riverdale-Fieldston-Riverdale
