ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
519,K435,19K502,FDNY High School for Fire and Life Safety,K502,400 PENNSYLVANIA AVENUE,K,19,334,400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,5,Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
520,K435,19K504,High School for Civil Rights,K504,400 PENNSYLVANIA AVENUE,K,19,293,400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,5,Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
521,K435,19K507,Performing Arts and Technology High School,K507,400 PENNSYLVANIA AVENUE,K,19,441,400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,5,Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
522,K435,19K510,World Academy for Total Community Health High Scho,K510,400 PENNSYLVANIA AVENUE,K,19,251,400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,5,Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
523,K435,,400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,,400 PENNSYLVANIA AVENUE,K,19,1319,400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,5,Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,1,9,38,3,6,7C,1251-1500,0.64,3.02,5.77,1.72,1.54
524,K440,17K524,International High School at Prospect Heights,K524,883 CLASSON AVENUE,K,17,417,883 CLASSON AVENUE CONSOLIDATED LOCATION,4,International High School at Prospect Heights |  The High School for Global Citizenship |  Brooklyn Academy of Science and the Environment |  Brooklyn School for Music & Theatre |  883 CLASSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
525,K440,17K528,The High School for Global Citizenship,K528,883 CLASSON AVENUE,K,17,231,883 CLASSON AVENUE CONSOLIDATED LOCATION,4,International High School at Prospect Heights |  The High School for Global Citizenship |  Brooklyn Academy of Science and the Environment |  Brooklyn School for Music & Theatre |  883 CLASSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
526,K440,17K547,Brooklyn Academy of Science and the Environment,K547,883 CLASSON AVENUE,K,17,427,883 CLASSON AVENUE CONSOLIDATED LOCATION,4,International High School at Prospect Heights |  The High School for Global Citizenship |  Brooklyn Academy of Science and the Environment |  Brooklyn School for Music & Theatre |  883 CLASSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
527,K440,17K548,Brooklyn School for Music & Theatre,K548,883 CLASSON AVENUE,K,17,352,883 CLASSON AVENUE CONSOLIDATED LOCATION,4,International High School at Prospect Heights |  The High School for Global Citizenship |  Brooklyn Academy of Science and the Environment |  Brooklyn School for Music & Theatre |  883 CLASSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
528,K440,,883 CLASSON AVENUE CONSOLIDATED LOCATION,,883 CLASSON AVENUE,K,17,1427,883 CLASSON AVENUE CONSOLIDATED LOCATION,4,International High School at Prospect Heights |  The High School for Global Citizenship |  Brooklyn Academy of Science and the Environment |  Brooklyn School for Music & Theatre |  883 CLASSON AVENUE CONSOLIDATED LOCATION,0,12,14,4,7,7C,1251-1500,0.64,3.02,5.77,1.72,1.54
